Model unknown

  Variables:
    shifts_facing_wall : Size=1150, Index=shifts_facing_wall_index
        Key      : Lower : Value                   : Upper : Fixed : Stale : Domain
          (0, 0) :   -50 : -1.3433606444369431e-05 :    50 : False : False :  Reals
          (0, 1) :   -50 :   0.0008971856460463643 :    50 : False : False :  Reals
          (0, 2) :   -50 :    0.001322825202841422 :    50 : False : False :  Reals
          (0, 3) :   -50 :   0.0011626541690972583 :    50 : False : False :  Reals
          (0, 4) :   -50 :  0.00039619746210764825 :    50 : False : False :  Reals
          (0, 5) :   -50 :  -0.0009124252775704444 :    50 : False : False :  Reals
          (0, 6) :   -50 :  -0.0026255900871997666 :    50 : False : False :  Reals
          (0, 7) :   -50 :  -0.0045522881876282305 :    50 : False : False :  Reals
          (0, 8) :   -50 :   -0.006472692179544713 :    50 : False : False :  Reals
          (0, 9) :   -50 :   -0.008163767222041075 :    50 : False : False :  Reals
         (0, 10) :   -50 :   -0.009423343048175254 :    50 : False : False :  Reals
         (0, 11) :   -50 :   -0.010090669997130484 :    50 : False : False :  Reals
         (0, 12) :   -50 :   -0.010061992757048959 :    50 : False : False :  Reals
         (0, 13) :   -50 :   -0.009300159758958992 :    50 : False : False :  Reals
         (0, 14) :   -50 :   -0.007837776500837093 :    50 : False : False :  Reals
         (0, 15) :   -50 :   -0.005773910039072146 :    50 : False : False :  Reals
         (0, 16) :   -50 :   -0.003264841517447401 :    50 : False : False :  Reals
         (0, 17) :   -50 :  -0.0005098144547240545 :    50 : False : False :  Reals
         (0, 18) :   -50 :   0.0022668944981316377 :    50 : False : False :  Reals
         (0, 19) :   -50 :    0.004835978650299027 :    50 : False : False :  Reals
         (0, 20) :   -50 :    0.006983424045989871 :    50 : False : False :  Reals
         (0, 21) :   -50 :    0.008529389716041797 :    50 : False : False :  Reals
         (0, 22) :   -50 :    0.009344019946963834 :    50 : False : False :  Reals
         (0, 23) :   -50 :    0.009358833428537798 :    50 : False : False :  Reals
         (0, 24) :   -50 :    0.008572716021901666 :    50 : False : False :  Reals
         (0, 25) :   -50 :     0.00705200605459447 :    50 : False : False :  Reals
         (0, 26) :   -50 :   0.0049246654639691625 :    50 : False : False :  Reals
